label,content,_id
1,thầy cho em hỏi nếu mình đã trúng tuyển chương trình đại trà thì có thể đổi sang chương trình chất lượng cao tiếng anh hoặc chương trình tiên tiến được không ạ,e81cb236
0,cho em hỏi em có thể đăng kí 2 ngành được không em đăng kí 2 ngành điện và ngành dầu khí vd trượt ngành điện thì qua dầu khí được không ạ,f84450f8
1,cho em hỏi chương trình chất lượng cao ở bách khoa có được học hoàn toàn trên cơ sở lý thường kiệt không ạ,d893c817
1,cho em hỏi nếu em đã trúng tuyển chương trình đại trà thì em có thể chuyển sang chương trình chất lượng cao hoặc chương trình tiên tiến được không ạ,34967305
0,thầy ơi cho em hỏi ví dụ nếu mình chọn nguyện vọng vào trường với ngành cao điểm nhất của trường là khoa học máy tính sau khi thi trung học phổ thông quốc gia điểm không đủ với điểm ngành đưa ra thì em có được đổi ngành lấy điểm thấp hơn phù hợp với điểm thi của em không ạ,a58504bd
2,cho em hỏi chỉ tiêu ngành khoa học máy tính năm nay bao nhiêu và giới thiệu về ngành khoa học máy tính với ạ,59ee699a
0,ngoài việc học thì trường mình có những hoạt động ngoại khóa câu lạc bộ nào không ạ,b0fafbfb
0,ngành kỹ sư xây dựng có được đi qua các nước khác và ngành này điểm có cao không ạ,e9cf7c68
2,cho em hỏi ngành khoa học máy tính có những hình thức tuyển sinh nào ạ,e7b7f754
1,cho em hỏi sau khi học xong 4 năm ở chương trình kỹ sư việt nhật ở trường thì mình sẽ qua nhật tiếp tục học hay làm việc ạ,92551d7e
1,cho em hỏi chương trình việt nhật thì giảng dạy hoàn toàn bằng tiếng nhật hay sao ạ,39fff815
3,cho em hỏi ngành kỹ thật điện điện tử thì có cơ hội việc làm ra sao ạ,6ef6a5f9
0,cho em hỏi cơ hội thực tập tại các doanh nghiệp của trường mình có cao không ạ,77a4893c
1,cho em hỏi ngành kỹ thuật hàng không có chương trình tăng cường tiếng nhật không ạ,d8081eb4
3,thầy cho em hỏi là ngành quản lí công nghiệp nó triển vọng như thế nào khi học ở bách khoa ạ,cfe920df
1,thưa các thầy em muốn hỏi là khi mình có bằng tiếng anh fce b2 rồi thì có cần phải thi ielts khi vào chương trình chất lượng cao không ạ,d81cfb00
3,thầy cho e hỏi là ngành tự động hóa và cơ điện tử khác nhau chỗ nào ứng dụng thực tế tại việt nam ngành nào tốt hơn,9fcb7551
3,thầy cho em hỏi nữ học ngành kỹ thuật vật liệu có nhiều không ạ ra trường dễ xin việc không ạ,35847dab
0,cho em hỏi ngành công nghệ vật liệu có khi nào tăng vọt 4 đến 5 điểm không vậy thầy,55c4fcdc
3,có nên học chất lượng cao việt pháp ngành kỹ thuật vật liệu không ạ cơ hội học vật liệu bên chất lượng cao việt pháp như thế nào ạ,6ac380b9
0,bách khoa năm nay các ngành tăng lên khoảng bao nhiêu ạ,aa013000
2,chừng nào mới có điểm chuẩn ạ,5885536e
3,cho e hỏi ngành logistics với ạ,2ee76b5f
0,khoa máy tính khoảng bao nhiêu điểm vậy,9f685c22
3,cho e hỏi về ngành kỹ thuật hàng không của mình sẽ làm những gì sau này,b2036c91
0,em 26 70 có đâu được ngành khoa hoc máy tính đai trà không ạ,e7d625d6
2,chỉ tiêu còn bao nhiêu ạ,6b96dd25
0,chương trình học của trường mình có nặng không ạ,11ccc094
3,cho em hỏi ngành kiến trúc của bách khoa với kiến trúc của trường khác khác nhau chỗ nào sau này cơ hội việc làm có cao không ạ,721d92b1
1,cho e hỏi chương trình chất lượng cao dạy toàn bằng tiếng anh anh chị có thể chia sẻ 1 vài kinh nghiệm để có thể tiếp thu tốt,a9f0c839
3,cơ kỹ thuật có tốt không ạ,b35b4356
3,cho em hỏi thêm về ngành quản lí công nghiệp với ạ,8a7c1133
3,giúp em về sự khác biệt giữa cơ điện tử và đk tự động hóa với ạ,8a3426fd
1,nếu tiếng anh em học không được tốt vậy học hệ chất lượng cao của bách khoa có rủi ro không ạ,a61b4aed
0,chị nghĩ tự động hoá năm nay bao nhiêu điểm ạ,208f45ff
2,chỉ tiêu trung học phổ thông còn khoảng nhiêu ạ,34a67d1e
3,anh ơi con gái có học điện được không ạ em mê điện lắm,77d725d9
3,ngành kỹ thuật máy tính chương trình học rộng hơn hay hẹp hơn so với ngành khoa học máy tính vậy anh,4d50b5b1
3,cho chú hỏi con chú đang học bắt đầu năm thứ 2 đại học bách khoa khoa học máy tính ra trường làm ở đâu vậy cháu,7b6dbaf6
