target,content
2,Mn có thể review cho em ngành khmt với ktmt của trường đc k ạ
1,Dạ mọi người và các anh chị ơi em xét tuyển vào ngành kĩ thuật hoá chất lượng cao ấy ạ cho em hỏi là em nên cần chuẩn bị những gì trong thời gian này để không bỡ ngỡ khi bước vào đại học
2,Anh chị cho e hỏi là ngành cơ điện tử clc và cơ điện tử- robot clc khác nhau nhiều lắm không ạ? Với lại theo anh chị ngành nào có cơ hộ tìm việc làm dễ hơn ạ?
2,các anh chị cho em hỏi là cơ hội việc làm sau này của ngành kĩ thuật xây dựng được không ạ
2,Anh chị cho em xin tí rì viu về ngành kỹ thuật cơ điện tử-chuyên ngành kỹ thuật robot đc ko ạ?
2,Anh chị nào học cơ kỹ thuật cho em xin chút review với ạ. 
0,mọi người cho em hỏi sự khác nhau giữa hệ đại trà với chất lượng cao là sao vậy ạ
2,Ae chị ai theo học 2 ngành Khoa Học Máy Tính và Kĩ Thuật Máy Tính cho e hỏi sự khác biệt của 2 ngành ạ
2,Các anh chị ơi năm nay em lên lớp 12 em đg có dự định thi ngành công nghệ sinh học.Các anh chị có thể tư vấn cho em về những lợi ích và khó khăn khi học ngành này và nó có dễ kiếm việc làm ở thành phố hồ chí minh ko v ạ.
1,Dạ mấy anh chị ơi cho em hỏi là thí dụ em vào bách khoa bằng phương thức  thi THPTQG ấy ạ thì sau đó em dùng đánh giá năng lực để xét tiếp vào chương trình Việt Pháp được không ạ hay bắt buộc em phải dùng phương thức THPTQG ạ
1,Có ai trong gr xét tuyển bằng phương thức phỏng vấn chương trình chuyển tiếp quốc tế ạ?
2,E nghe nói ngành KHMT và KTMT cũng tương tự nhau nếu sau khi e học KHMT mà em thấy KTMT hợp hơn thì e có chuyển qua được không ạ?
0,Em chào tất cả mng ạ cho em xin review về ngành Vật lý kỹ thuật CLC đc ko ạ em cảm ơm rất nhiều ạ
0,Thầy/cô/anh/chị có thể cho em hỏi mình chuyển từ Đại Trà lên Tiên tiến được hay không? 
2,Các anh chị có thể giúp em tóm tắt 1 vài thông tin liên quan đến nghành Logictic ko ạ. 
2,Mọi người cho em tự động hoá với cơ điện tử thì ngành nào dễ xin việc hơn ạ. 
0,Tư vấn dùm em ngành điện tử chương trình tiên tiến đi ạ
2,Anh chị học công nghệ thực phẩm CN sinh học thế nào ạ?
2,Xin chào các anh chị năm nay em 2k4 em có dự định sẽ vào ngành Công nghệ thực phẩm của trường. Em mong anh chị review giúp em ngành đó.
2,Mọi người có thể review ngành cơ điện tử robot giúp em đc k ạ
1,Anh chị ơi em năm nay lên 12 cho em hỏi lac điểm học bạ năm 10 và 11 thấp liệu em có cơ hội thi vào trường mình được không ạ. Nếu thi lấy điểm THPTQG thì có xét học bạ không ạ. 
2,Cho em xin review ngành công nghệ thực phẩm ở trường BK với ạ.
1,Mọi người cho em hỏi là đợt rồi em được tuyển thẳng vào chương trình đại trà ngành Khoa học Máy tính của trường mình theo phương thức UTTT HSG 
2,Cho em xin review về ngành kĩ thuật môi trường với ạ
2,Mọi người ơi cho em hỏi ngành Kỹ thuật vật liệu học có tốt ko ạ
1,Cho mình hỏi có bạn nào đủ điểm ưtxt nhưng tra cứu lại bị báo không trúng tuyển không ạ ?
2,Anh chị nào có thể review cho em tí về 2 ngành này cụ thể là lộ trình học và triển vọng sau này được không ạaa 
1,Dạ anh chị ơi cho em hỏi là hiện tại em đã đậu ngành điện tử - tự động hóa CT đại trà theo hình thức ƯTXT ạ. 
2,cho e xin review về ngành lun ạ vì em thấy là ngành học về kỹ thuật y sinh
2,Anh chị cho em hỏi có ai biết thông tin về ngành kĩ thuật nhiệt ko ạ học rồi việc làm ổn định ko ạ. 
2,Mấy anh chị cho e ít review về ngành Kĩ Thuật Hoá Học với ạ
2,Em sn 2004 sắp lên 12 và có ý định chọn ngành cntt khoa học máy tính. Mong anh chị review về ngành này cũng như cơ hội việc làm giúp em với ạ!
2,Em 2k4 đang có ý định vào ngành kỹ thuật oto ạ. Có anh chị nào đang học và làm việc trong trường review về ngành và cơ hội việc làm cho em với ạ. 
2,Dạ chào anh/chị em 2k4 năm nay e lên 12 em cũng muốn theo Kỹ Thuật Hóa Học. Anh/chị cho e xin review về ngành cũng như là cơ hội việc làm đi ạ. 
1,Anh chị cho em hỏi là nếu mà có điểm chuẩn ĐGNL rồi thì trường sẽ lấy từ trên xuống hay chỉ cần mình trên điểm chuẩn là có thể đậu ạ??
2,Dạ mấy anh/chị có thể review cho em về ngành kỹ thuật môi trường được ko. Và ra trường cơ hội việc làm cao không ạ
0,Mọi người cho em hỏi là học chương trình CLC Kỹ Thuật Cơ Khí
1,có bạn nào nộp hồ sơ UTXT thẳng HSG nhất trường THPT không nhỉ?
0,Cho e hỏi những điều kiện để có thể học clc là gì vậy mn ?
1,Mọi người cho mình hỏi là trường mình tuyển sinh có ưu tiên xét tuyển cho thí sinh đang học chương trình THPT hơn thí sinh tự do không ạ
2,Anh chị có thể review về ngành kỹ thuật vật liệu được ko ạ
1,Cho em hỏi là trường mình có ưtxt hơn cho hs trường chuyên hay có giải tỉnh không ạ Em cảm ơn
2,Dạ chào mọi người. Mọi người/ anh chị nào đã học rồi có thể review giúp em về đào tạo ngành Kiến trúc ở Bách Khoa dc ko ạ
2,Cho em xin ít review về ngành kỹ thuật vật liệu được không ạ.
1,Dạ mng cho em hỏi có ai đăng ký UTXT ngành Vật Lý Kỹ Thuật giống em hongg ạ ?
