label,content
1,thầy cho em hỏi nếu mình đã trúng tuyển chương trình đại trà thì có thể đổi sang chương trình chất lượng cao tiếng anh hoặc chương trình tiên tiến được không ạ
0,cho em hỏi em có thể đăng kí 2 ngành được không em đăng kí 2 ngành điện và ngành dầu khí vd trượt ngành điện thì qua dầu khí được không ạ
1,cho em hỏi chương trình chất lượng cao ở bách khoa có được học hoàn toàn trên cơ sở lý thường kiệt không ạ
1,cho em hỏi nếu em đã trúng tuyển chương trình đại trà thì em có thể chuyển sang chương trình chất lượng cao hoặc chương trình tiên tiến được không ạ
0,thầy ơi cho em hỏi ví dụ nếu mình chọn nguyện vọng vào trường với ngành cao điểm nhất của trường là khoa học máy tính sau khi thi trung học phổ thông quốc gia điểm không đủ với điểm ngành đưa ra thì em có được đổi ngành lấy điểm thấp hơn phù hợp với điểm thi của em không ạ
2,cho em hỏi chỉ tiêu ngành khoa học máy tính năm nay bao nhiêu và giới thiệu về ngành khoa học máy tính với ạ
0,ngoài việc học thì trường mình có những hoạt động ngoại khóa câu lạc bộ nào không ạ
0,ngành kỹ sư xây dựng có được đi qua các nước khác và ngành này điểm có cao không ạ
2,cho em hỏi ngành khoa học máy tính có những hình thức tuyển sinh nào ạ
1,cho em hỏi sau khi học xong 4 năm ở chương trình kỹ sư việt nhật ở trường thì mình sẽ qua nhật tiếp tục học hay làm việc ạ
1,cho em hỏi chương trình việt nhật thì giảng dạy hoàn toàn bằng tiếng nhật hay sao ạ
3,cho em hỏi ngành kỹ thật điện điện tử thì có cơ hội việc làm ra sao ạ
0,cho em hỏi cơ hội thực tập tại các doanh nghiệp của trường mình có cao không ạ
1,cho em hỏi ngành kỹ thuật hàng không có chương trình tăng cường tiếng nhật không ạ
3,thầy cho em hỏi là ngành quản lí công nghiệp nó triển vọng như thế nào khi học ở bách khoa ạ
1,thưa các thầy em muốn hỏi là khi mình có bằng tiếng anh fce b2 rồi thì có cần phải thi ielts khi vào chương trình chất lượng cao không ạ
3,thầy cho e hỏi là ngành tự động hóa và cơ điện tử khác nhau chỗ nào ứng dụng thực tế tại việt nam ngành nào tốt hơn
3,thầy cho em hỏi nữ học ngành kỹ thuật vật liệu có nhiều không ạ ra trường dễ xin việc không ạ
